event_id	event_type	genes	fully_annotated	pbmc_median_usage	pbmc_range	brain_range	min_brain_abs_delta
alt_donor:chr9:129908999-129924959:129924026-129924959	alt_donor	FNBP1	True	0.947741935483871	0.0556873420182773	0.07042253521126761	0.8773194002726034
cassette:chr9:129908999-129923843:129924026-129924959:129908999-129924959	cassette	FNBP1	True	0.08333333333333334	0.0910344827586207	0.05882352941176472	0.8578431372549019
cassette:chr9:129908999-129923843:129923996-129924959:129908999-129924959	cassette	FNBP1	True	0.046595744680851064	0.060191846522781776	0.1428571428571429	0.8105471124620061
alt_acceptor:chr12:79798584-79805591:79798584-79806165	alt_acceptor	PPP1R12A	True	0.2108264267574857	0.06886446886446887	0.032144106833858266	0.7485692295220232
cassette:chr12:79798584-79805591:79805768-79806165:79798584-79806165	cassette	PPP1R12A	True	0.21510712035286705	0.08706424084686806	0.029701850578031208	0.7475340612283666
cassette:chr12:56160320-56160625:56160670-56161386:56160320-56161386	cassette	MYL6	True	0.03452730074754176	0.010404218868701173	0.07704439427686027	0.6647601101788241
alt_donor:chr10:128047489-128047763:128047683-128047763	alt_donor	PTPRE	True	0.2454774558973975	0.08925518925518924	0.09051724137931039	0.6640053027232922
alt_donor:chr12:56160320-56161386:56160670-56161386	alt_donor	MYL6	True	0.9678215428549376	0.011446287282868894	0.07061130245686009	0.6236127337195378
alt_acceptor:chr12:56160320-56160625:56160320-56161386	alt_acceptor	MYL6	True	0.02661944464951653	0.010200752916185472	0.09658735816788933	0.5937398367876092
alt_acceptor:chr1:16888785-16889215:16888785-16889547	alt_acceptor	ENSG00000238142	True	0.12810077519379845	0.10269583960787788	0.16153591525984778	0.5700124323533713
alt_acceptor:chr8:73027052-73030335:73027052-73032041	alt_acceptor	TERF1	True	0.2155015197568389	0.06099857608745579	0.19639260208752984	0.5054287128013006
cassette:chr8:73027052-73030335:73030395-73032041:73027052-73032041	cassette	TERF1	True	0.2520176893311222	0.03731247044663197	0.1808699219150588	0.4906096565133819
cassette:chr16:67656645-67656833:67656881-67657238:67656645-67657238	cassette	CARMIL2	True	0.9247762600094206	0.07943925233644855	0.11525974025974023	0.47023080546396606
alt_donor:chr16:67656645-67657238:67656881-67657238	alt_donor	CARMIL2	True	0.07647058823529412	0.081145584725537	0.12483530961791833	0.4689839572192513
alt_acceptor:chr19:55388048-55391553:55388048-55402942	alt_acceptor	RPL28	True	0.952116935483871	0.05526710511134192	0.09510901942094602	0.45441051346552236
cassette:chr19:55388048-55391553:55402388-55402942:55388048-55402942	cassette	RPL28	False	0.952116935483871	0.054213205683458665	0.09669089786409946	0.43770451863242976
cassette:chr16:67656645-67656800:67656881-67657238:67656645-67657238	cassette	CARMIL2	True	0.932605421686747	0.07343412526997839	0.15793103448275864	0.41260542168674696
cassette:chr6:29890296-29890438:29945091-29945233:29890296-29945233	cassette	HLA-H,HLA-H,HLA-A	False	0.40181050372133176	0.046841574556136356	0.03263338209253985	0.3764153027302811
alt_donor:chr6:29890296-29945233:29945091-29945233	alt_donor	HLA-A	False	0.5994301820888953	0.0460237965530903	0.034896494482960644	0.37494038617052794
alt_acceptor:chr10:103392466-103394198:103392466-103395745	alt_acceptor	ATP5MK	True	0.6708722741433022	0.10384615384615381	0.03805446229124565	0.36391024882684647
cassette:chr10:78037304-78039958:78040225-78040614:78037304-78040614	cassette	RPS24	True	0.5860049921637676	0.10094922626795277	0.08534880817512691	0.3280100673455839
alt_donor:chr10:78037304-78040614:78040225-78040614	alt_donor	RPS24	True	0.4139978268751726	0.10094922626795266	0.08535925211299773	0.3280024424466532
cassette:chr10:78037304-78037964:78040225-78040614:78037304-78040614	cassette	RPS24	True	0.5898175230000153	0.09893081579428553	0.08464578034209069	0.3251067740439645
alt_donor:chrX:123960866-124022530:124021431-124022530	alt_donor	STAG2	True	0.41878459279340335	0.059770874641991656	0.09030290132652341	0.30193612792731733
cassette:chrX:123960866-124021366:124021431-124022530:123960866-124022530	cassette	STAG2	True	0.6105442176870748	0.044097865134754444	0.1150323275862069	0.3001993901008679
alt_acceptor:chr10:78037304-78040203:78037304-78040614	alt_acceptor	RPS24	True	0.6542755844801768	0.09033407875537769	0.052101821500347256	0.29286097939647526
alt_donor:chr3:28263380-28316332:28294529-28316332	alt_donor	CMC1	True	0.6832514332514332	0.033978933061501904	0.03424657534246578	0.282501991406101
alt_acceptor:chr15:55317867-55318863:55317867-55318906	alt_acceptor	PIGBOS1	True	0.2981527093596059	0.09340659340659344	0.04004449388209119	0.2824924519307167
cassette:chr10:78037304-78040203:78040225-78040614:78037304-78040614	cassette	RPS24	True	0.6690916617844854	0.08945915674192717	0.04957510065135318	0.2808588542624536
alt_donor:chr1:67424277-67424887:67424322-67424887	alt_donor	SERBP1	True	0.7996137640449439	0.10166399065829812	0.12438822377832998	0.27171676833678937
cassette:chr1:24646789-24647078:24647208-24648858:24646789-24648858	cassette	SRRM1	True	0.058822528274088536	0.07680408662493704	0.026889615287905455	0.26995795953078955
cassette:chr1:108696337-108697946:108698017-108698603:108696337-108698603	cassette	PRPF38B	False	0.4662061239731143	0.13250517598343686	0.02480490523968784	0.26748817525516555
cassette:chrX:123960866-123961725:124021431-124022530:123960866-124022530	cassette	STAG2	False	0.5867172884340266	0.06561537460413858	0.13305752035232882	0.2646833901289419
cassette:chr1:108696337-108697809:108698017-108698603:108696337-108698603	cassette	PRPF38B	False	0.4700036805299963	0.11036036036036029	0.044025594658506056	0.2611429210363254
cassette:chr4:139073567-139084132:139102353-139125163:139073567-139125163	cassette	ELF2	False	0.8667565257413373	0.014335528864781177	0.19125159642401018	0.24638615537096697
alt_donor:chrX:123962106-124022530:124021431-124022530	alt_donor	STAG2	True	0.049135220125786166	0.02535426204490953	0.08916083916083917	0.2463193253287593
alt_acceptor:chr8:98042775-98044826:98042775-98045346	alt_acceptor	RPL30	True	0.681181496076029	0.13378102028408778	0.05476190476190479	0.23548517059063767
cassette:chr8:98042775-98044826:98045087-98045346:98042775-98045346	cassette	RPL30	False	0.6831664812754913	0.1347222986734189	0.05321295804567183	0.2350491321074083
cassette:chrX:123962106-124021366:124021431-124022530:123962106-124022530	cassette	STAG2	True	0.9508647798742138	0.0255944931163955	0.09840425531914898	0.22746052455506482
alt_donor:chr17:5422829-5432541:5426299-5432541	alt_donor	RPAIN	True	0.5421187462326702	0.1304959100204499	0.17431972546547359	0.2212777912776348
alt_acceptor:chr5:57214193-57221375:57214193-57230845	alt_acceptor	GPBP1	True	0.32511951325510646	0.14980155364835984	0.0001258411487309874	0.21555161202053857
cassette:chr6:116571655-116574057:116574171-116580294:116571655-116580294	cassette	RWDD1	True	0.39439791904580634	0.024504291631674058	0.10961572128851538	0.21237291428752703
cassette:chr4:169636088-169644286:169660448-169680049:169636088-169680049	cassette	CLCN3	False	0.03794326241134752	0.07267780800621843	0.1707384309472162	0.20997340425531916
alt_donor:chr4:169636088-169680049:169660448-169680049	alt_donor	CLCN3	True	0.9672043010752689	0.0766129032258065	0.1757946656923639	0.2088009397307311
cassette:chr6:116571655-116572857:116574171-116580294:116571655-116580294	cassette	RWDD1	True	0.38699255971805246	0.019977441966210208	0.12474274971354837	0.20818170301653194
alt_donor:chr6:116571655-116580294:116574171-116580294	alt_donor	RWDD1	True	0.6137259035268805	0.0204964539007092	0.11444088681119202	0.20644336812566677
cassette:chr6:116571655-116572421:116574171-116580294:116571655-116580294	cassette	RWDD1	True	0.38699255971805246	0.0179100085341809	0.11507474319342148	0.2057249048807338
alt_acceptor:chrX:123960866-124021366:123960866-124022530	alt_acceptor	STAG2	True	0.27355072463768115	0.07327212887580117	0.050719822812846066	0.20378328277721602
alt_acceptor:chr1:15719920-15721328:15719920-15725316	alt_acceptor	PLEKHM2	True	0.33307692307692305	0.08514747191011235	0.10797101449275359	0.20025641025641028
cassette:chr10:15097766-15102217:15102336-15103304:15097766-15103304	cassette	RPP38	True	0.61555330634278	0.08365164247517187	0.0012771392081737387	0.19926150847203472
cassette:chr1:24646789-24647078:24648166-24648858:24646789-24648858	cassette	SRRM1	True	0.043483431703140785	0.058735550404320915	0.01705809316717144	0.19629557382172108
cassette:chr17:5422829-5426235:5426299-5432541:5422829-5432541	cassette	RPAIN	True	0.46769096654680176	0.08706293706293705	0.19179948380916906	0.19453555053424287
alt_acceptor:chr1:20779911-20780344:20779911-20787194	alt_acceptor	HP1BP3	True	0.9334119496855346	0.031187052511916336	0.05540936999062396	0.19353656027743493
alt_acceptor:chr7:26191128-26191421:26191128-26192494	alt_acceptor	HNRNPA2B1	True	0.08711625200058198	0.125	0.10461538461538461	0.19288374799941804
cassette:chr1:20779911-20780344:20780540-20787194:20779911-20787194	cassette	HP1BP3	True	0.9335485133020345	0.02814590012653051	0.05368583245478875	0.1908674655362409
alt_donor:chr10:15097766-15103304:15102336-15103304	alt_donor	RPP38	True	0.38661202185792354	0.10714285714285715	0.0004889377826671759	0.1885922198777255
